question,answer,source_page
How does an 'Incomplete' status affect my application processing time?,"An incomplete file will inevitably prolong the application process, as the 6 to 8 weeks processing timeframe is calculated starting only from the moment you submit a complete file.",process_details
What specific activities occur when my application status is 'Evaluation in process'?,"During this stage, a credential evaluator checks the authenticity and content of your academic credentials, and the faculty you applied to reviews your file to make an academic decision.",process_details
How will I be officially notified of the final decision on my application?,"At the end of the evaluation process, you will be officially informed of the final outcome of your application via email.",process_details
What does it mean if my application status changes to 'Admission Letter uploaded' or 'Register now'?,"This indicates a positive result. Your official Letter of Admission has been uploaded to the web app, and you can proceed with registration.",process_details
What is a conditional admission at KU Leuven?,"A conditional admission means you are admitted on the condition that you meet specific requirements. You will receive an email outlining these conditions, and your status in the Applicant Tool will change to 'Conditionally admitted'.",process_details
What must I do after receiving a conditional admission to finalize my acceptance?,"Once you meet the conditions, you must upload a copy of your official score report to your online application, ensure your score is available to KU Leuven for online verification, and reply to the conditional admission email to inform the office.",process_details
What happens to my application status if I am rejected?,"If your application is rejected, you will be informed via email, and your status in the Applicant Tool will change to 'Rejected'.",process_details
Can Credential Evaluators request additional documents during the evaluation?,"Yes, Credential Evaluators can request additional documents if they consider them necessary to properly evaluate the authenticity and content of your diplomas and transcripts.",process_details
Why does KU Leuven use the Applicant Tool instead of email updates for status tracking?,"The Applicant Tool updates automatically, allowing applicants to consult their processing status directly and minimizing the need to make specific enquiries via email or phone.",process_details
Does the 6 to 8 weeks processing time start from the day I first create my application?,"No, the 6 to 8 weeks processing time starts only from the moment you submit (or resubmit) a complete application file.",process_details
What are the two main criteria Case Administrators look for during the initial inspection?,They inspect files for completeness and correctness based on KU Leuven's general language proficiency requirements and the specific academic requirements of the chosen programme.,process_details
"For batch-evaluated programmes, how is the status update timeline determined?","For programmes that evaluate all candidates in one batch, the status update timeline depends entirely on the specific date scheduled for the programme's collective evaluation.",process_details
Who makes the final academic decision to grant or deny admission?,The academic evaluation and final decision to approve or deny admission are made by the respective Faculties and Doctoral Schools within KU Leuven.,process_details
What should I do if I encounter technical issues or have questions during my application?,You should not hesitate to reach out for help by using the 'Contact us' option provided on the application details page.,process_details
How do I submit my official score report for verification if I am conditionally admitted?,"You must upload a copy of your official score report to your online application, make sure the score is available to KU Leuven for online verification, and reply to the conditional admission email to notify them.",process_details
Do I need to submit my original diploma when applying online to KU Leuven?,"No, you do not need to submit original hard copies for the initial online application. However, the Admissions Office reserves the right to ask for official or certified hard copies of transcripts or diplomas if needed for evaluation. Additionally, successful degree-seeking applicants must present their original diploma(s) to the Admissions Office prior to enrolment.",requested_documents
I am currently in my final year of high school and have not graduated yet. Can I still apply for a Bachelor's programme?,"Yes, if you still need to graduate at the time of your application, you can upload your official intermediate transcripts to apply for a Bachelor's programme.",requested_documents
My high school diploma is in Portuguese. Do I need to get it translated for my Bachelor's application?,"No, translation is not required if your documents were officially issued in Portuguese. KU Leuven accepts secondary education documents in English, Dutch, French, German, Spanish, Italian, Portuguese, Bulgarian, Polish, or Ukrainian without translation.",requested_documents
My secondary school transcripts are in Turkish. What are the translation requirements for my application?,"Since Turkish is not on the list of accepted languages, you must provide a translation of your diploma and transcripts into English, Dutch, French, or German. This translation must be issued either by your home institution or by a sworn translator.",requested_documents
I completed Advanced Placement (AP) courses in high school. Should I upload these for my Bachelor's application?,"Yes, if you hold a high school diploma that includes Advanced Placement (AP) courses, you must upload the official AP certificate along with your other secondary education documents.",requested_documents
What is the recommended length for the motivation letter?,The recommended length for the motivation letter is one A4-page.,requested_documents
How do I provide proof of payment for the application fee if I pay by bank transfer?,"If you pay by bank transfer, you must upload a detailed proof of payment that clearly states the account holder's name and the account details. If you pay directly through the web application, the system will register your payment automatically.",requested_documents
Do I need to upload my secondary school diploma when applying for a Master's programme?,"No, when applying for a Master, Advanced Master, Bridging, Preparatory, or Postgraduate programme, you only need to upload your higher education diploma and transcripts. You do not need to upload secondary education documents.",requested_documents
I am applying for a Master's programme. Can I submit my transcripts in Spanish without a translation?,"Generally, Master's application documents must be in English, Dutch, French, or German. However, an exception is made for the 'Máster en Estudios Ibéricos e Iberoamericanos', which accepts documents in Spanish.",requested_documents
I am a mainland Chinese citizen applying for a Master's degree. Do I need to submit an APS certificate during the application process?,"No, KU Leuven does not require the APS certificate at the time of application for mainland Chinese citizens applying for Bachelor's, Master's, or Doctoral programmes.",requested_documents
What specific document must I submit if I am applying for a VLIR-ICP scholarship?,"Applicants for VLIR-ICP scholarships must submit an IPC Connect scholarship document in .docx format, in addition to checking the specific VLIR-ICP scholarship selection criteria.",requested_documents
What unique core document is required when applying for a credit contract?,"In addition to standard core documents like higher education transcripts, CV, and proof of payment, you must upload a list of the courses you wish to take.",requested_documents
"I am a non-EEA citizen applying for a PhD, but I currently reside in an EEA country. What identity documents do I need to upload?","You must upload the identity page of your passport (or national ID card, front and back) and a scan of both sides of your current EEA residence permit.",requested_documents
Can I use my own template for my PhD thesis proposal?,"Generally, yes, you can use the provided KU Leuven template or your own. However, specific faculties have mandatory templates: the Faculty of Arts (unless a funding proposal already exists), the Faculty of Canon Law, the Institute of Philosophy, and the Associated Faculty of the Arts (LUCA School of Arts).",requested_documents
"If I am selected for a PhD vacancy on the KU Leuven jobsite, do I still need to write a full thesis proposal?","Generally, no; you only need to upload a short description of the vacancy. However, using the faculty template is still mandatory even if you are selected for a vacancy in the Faculty of Canon Law, the Institute of Philosophy, and the Associated Faculty of the Arts (LUCA School of Arts).",requested_documents
Which faculties require an additional 'Faculty Form' for doctoral applications?,"The Faculty of Canon Law (requires a Faculty Form and a list of publications), the Faculty of Law (optional forms), and the Faculty of Psychology and Educational Sciences (requires the 'Additional information application doctoral programme' form).",requested_documents
What should I upload if I am applying for a PhD and have secured external funding?,You must upload a proof or attestation of your external scholarship issued by the granting institution or organisation.,requested_documents
What is the mandatory core document required to apply as an Exchange student?,"The only mandatory core document required to submit the online application is the identity page of your passport (or national ID card front and back, and scans of both sides of your Belgian Residence Permit if you hold one).",requested_documents
"How do I know which additional documents, like a learning agreement, I need to upload for my exchange application?","You must contact the 'exchange programme co-ordinator' in the specific faculty where you wish to study. They will inform you which additional documents (such as learning agreements, motivation letters, or transcripts) are required.",requested_documents
Are exchange students from mainland China required to go through the APS procedure?,"No, exchange students from mainland China are completely exempted from the APS procedure.",requested_documents
"Is there an application fee for International Scholars, and is it refundable?","Yes, there is a non-refundable processing fee of EUR 100 (excluding bank transfer fees) for each submitted application. You will receive payment details once the International Scholar Team receives your application.",requested_documents
What proof of enrollment is required for an International Scholar application?,You must upload proof of enrollment at your home university that covers the entire duration of your planned stay in Belgium.,requested_documents
I am a Chinese student with a CSC scholarship applying as an International Scholar. How do I submit my attestation of solvability?,"You must send your attestation of solvability to your promotor at KU Leuven, who will then upload it directly into your application.",requested_documents
What is the registration fee for a Visiting Scholar application?,There is a non-refundable registration fee of EUR 100 (excluding bank transfer fees). Payment details will be sent to you later in the process by the Visiting Scholar Team.,requested_documents
What is the 'Activity Plan' required for Specialisation Students?,"The Activity Plan is an overview of your planned activities during your stay at KU Leuven, focusing on the educational aspects of the visit and the ad hoc custom training you will receive.",requested_documents
Can I apply as a Specialisation Student without an official English proficiency test certificate?,"Yes, if you hold a document from your KU Leuven supervisor stating that your level of English is sufficient, you can upload this document instead of an official language test result.",requested_documents
What are the file size limits for uploading documents to the KU Leuven application portal?,Each uploaded file must be a maximum of 15 MB and a minimum of 4 MB.,requested_documents
What are the formatting and naming rules for files I want to upload?,"Files must meet the following requirements: pictures must be in .JPG format, PDFs must not be protected, and filenames must not contain spaces, must not be too long, must use only Roman characters, and must not contain diacritical characters.",requested_documents
The application portal is rejecting my official TOEFL/ETS score report PDF. How can I resolve this?,"Some organisations like ETS encrypt their PDFs, which prevents the KU Leuven system from processing them. To bypass this, you can print the score report, scan the printed document, and upload that scan to the portal. Alternatively, you can use online tools to unlock the PDF before uploading.",requested_documents
What troubleshooting steps should I take if I experience technical issues uploading documents?,"You should check that your files meet the size and naming requirements, clear your browser's cache and cookies, or try using a different web browser (Google Chrome is recommended).",requested_documents
